Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1978,.07,.02,.11,-.03,.08,.15,-.16,.04,-.04,.10,.05,.21,.13,.02
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.34,.06,.31,.38,.26,.02,.02,.33,.29,.35,.37,.56
1981,.32,.37,.27,.48,.18,.36,1.09,.79,.08,.22,.14,.28,.38,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.19,.69,-.07,.29,.57,.21,.41,.09
1984,.16,.04,.28,.02,.18,.26,.36,.08,-.13,.07,.29,.16,.32,.54
1985,.12,.00,.24,-.03,.09,.31,.39,-.26,-.01,.04,.14,.29,.44,.07
1986,.18,.13,.23,.11,.22,.20,.01,.28,.03,.17,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.61,.32,.25,.01
1988,.39,.37,.41,.40,.37,.40,.59,.57,.24,.32,.42,.38,.20,.93
1989,.27,.27,.27,.41,.13,.34,.33,.69,.25,.07,.18,.36,.30,.37
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.38,.36,.37,.37,.37
1991,.41,.41,.40,.47,.36,.40,.75,.66,.26,.32,.40,.31,.29,.99
1992,.22,.14,.31,.10,.28,.27,-.17,.44,-.03,.20,.37,.20,.33,.41
1993,.23,.19,.28,.13,.32,.22,.54,.30,-.11,.28,.36,.26,.39,-.28
1994,.32,.37,.26,.43,.31,.21,.34,.50,.42,.28,.34,.26,.23,-.03
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.32,.40,.45,.29,.15,.15
1996,.33,.26,.40,.23,.32,.45,.77,.17,.11,.31,.33,.32,.28,1.31
1997,.47,.52,.42,.54,.51,.34,.76,.90,.23,.50,.52,.42,.36,.04
1998,.61,.71,.52,.78,.70,.32,.86,.94,.66,.60,.79,.39,.31,.13
1999,.38,.48,.28,.70,.21,.30,.40,.80,.74,.16,.26,.46,.19,.01
2000,.39,.50,.29,.70,.25,.29,.97,.80,.55,.21,.29,.41,.10,.27
2001,.53,.64,.43,.80,.42,.42,1.06,.86,.68,.40,.44,.58,.24,.25
2002,.63,.72,.55,.83,.60,.48,1.25,1.00,.58,.55,.64,.49,.31,.78
2003,.62,.75,.49,.84,.64,.36,1.49,.98,.54,.61,.67,.44,.24,.37
2004,.53,.66,.41,.73,.55,.32,.46,.96,.66,.56,.54,.48,.23,-.04
2005,.68,.86,.50,1.01,.62,.42,1.98,1.23,.57,.62,.62,.49,.18,.68
2006,.64,.82,.46,.99,.56,.40,1.74,1.06,.70,.57,.55,.51,.19,.44
2007,.67,.85,.48,1.12,.47,.47,2.07,1.32,.69,.45,.48,.50,.07,1.26
2008,.55,.68,.41,.92,.38,.40,1.53,1.08,.62,.34,.42,.52,.09,.64
2009,.66,.73,.59,.78,.68,.51,1.41,.60,.68,.65,.71,.60,.15,.98
2010,.73,.90,.55,1.03,.69,.48,2.24,.87,.74,.72,.65,.63,.20,.54
2011,.61,.74,.48,.98,.37,.56,2.33,.94,.58,.39,.35,.64,.19,1.09
2012,.65,.81,.49,1.03,.53,.43,2.14,.93,.74,.48,.58,.56,.20,.45
2013,.68,.80,.56,.95,.58,.54,1.54,1.05,.69,.59,.58,.62,.24,.85
2014,.75,.92,.58,1.08,.67,.53,2.04,1.14,.73,.70,.65,.72,.19,.56
2015,.90,1.18,.63,1.32,.96,.40,2.02,1.48,.99,.98,.94,.74,.20,-.34
2016,1.02,1.31,.73,1.54,1.01,.49,3.24,1.44,1.07,.96,1.07,.67,.28,.37
2017,.92,1.17,.67,1.39,.81,.60,2.53,1.38,1.03,.86,.76,.76,.38,.53
2018,.85,1.04,.66,1.25,.68,.69,2.16,1.10,1.05,.74,.63,.79,.41,.93
2019,.98,1.22,.75,1.42,.90,.64,2.75,1.43,.99,.91,.90,.73,.41,.80
2020,1.01,1.34,.68,1.66,.86,.56,2.87,1.81,1.18,.88,.83,.58,.39,.85
2021,.85,1.14,.56,1.43,.66,.53,2.06,1.36,1.26,.72,.60,.72,.33,.28
2022,.89,1.16,.63,1.52,.57,.70,2.34,1.50,1.27,.62,.51,.78,.40,1.07
2023,1.17,1.49,.86,1.77,1.07,.72,2.56,1.87,1.46,1.08,1.05,.90,.46,.65
2024,1.29,1.66,.92,1.95,1.20,.75,2.89,1.96,1.64,1.22,1.17,.88,.54,.73
